Epoch,Train Loss,Val Loss,Val Dice,LR,Time(s)
1,1.5698,1.5351,0.1983,0.001,16.01
2,1.5285,1.4947,0.2053,0.001,15.83
3,1.5038,1.4843,0.2071,0.001,16.07
4,1.4960,1.4771,0.2069,0.001,16.30
5,1.5012,1.4818,0.2130,0.001,16.43
6,1.5024,1.4720,0.2110,0.001,16.55
7,1.4995,1.4690,0.2097,0.001,16.69
8,1.4897,1.4696,0.2106,0.001,16.87
9,1.4888,1.4670,0.2108,0.001,16.99
10,1.4895,1.4679,0.2140,0.001,17.07
11,1.5004,1.4660,0.2126,0.001,17.21
12,1.4860,1.4675,0.2080,0.001,17.11
13,1.4910,1.4658,0.2091,0.001,17.19
14,1.4783,1.4671,0.2139,0.001,17.27
15,1.4912,1.4640,0.2128,0.001,17.41
16,1.4815,1.4633,0.2134,0.001,17.50
17,1.4871,1.4631,0.2126,0.001,17.27
18,1.4892,1.4650,0.2145,0.001,17.37
19,1.4901,1.4622,0.2139,0.001,17.47
20,1.4854,1.4630,0.2112,0.001,17.50
21,1.4837,1.4626,0.2137,0.001,17.53
22,1.4774,1.4640,0.2155,0.001,17.64
23,1.4876,1.4625,0.2116,0.001,17.53
24,1.4826,1.4625,0.2106,0.001,17.79
