Epoch,Train Loss,Val Loss,Val Dice,LR,Time(s)
1,1.2791764549911022,1.5362691640853883,0.1443927526473999,0.0002,18.270838499069214
2,1.1243506744503975,1.142659592628479,0.34702550172805785,0.0002,17.732656240463257
3,1.0636749062687159,1.0819756984710693,0.3829404950141907,0.0002,17.883233070373535
4,0.9941122140735388,0.9853990793228149,0.4300731420516968,0.0002,17.879703998565674
5,0.9405721072107553,0.9148383259773254,0.46389080286026,0.0002,18.073333501815796
6,0.894024733453989,0.9407162189483642,0.45603371858596803,0.0002,18.10723114013672
7,0.8523343689739704,0.8636791825294494,0.4891021609306335,0.0002,18.20746111869812
8,0.7974516954272985,0.817453122138977,0.5175683975219727,0.0002,18.275895357131958
9,0.7540488373488188,0.7558444380760193,0.5515352606773376,0.0002,18.481142282485962
10,0.7050243243575096,0.7338244915008545,0.5696868419647216,0.0002,18.4433753490448
11,0.6799653470516205,0.6677958011627197,0.6056955099105835,0.0002,18.503095149993896
12,0.6388561967760324,0.6304460525512695,0.6241325736045837,0.0002,18.48888921737671
13,0.6078228279948235,0.6217013597488403,0.6343247175216675,0.0002,18.648563861846924
14,0.5887481216341257,0.5773038029670715,0.6571020126342774,0.0002,18.492096424102783
15,0.5573925822973251,0.5398491322994232,0.6807385683059692,0.0002,18.43871283531189
16,0.537305885925889,0.5192620575428009,0.6918457627296448,0.0002,18.503241062164307
17,0.5247342884540558,0.5208970427513122,0.6912944793701172,0.0002,18.520880222320557
18,0.50052575673908,0.4882637321949005,0.7110249280929566,0.0002,18.503384351730347
19,0.4931900082156062,0.47860870957374574,0.7202841281890869,0.0002,18.655463218688965
20,0.47825818601995707,0.46453973054885866,0.7263658165931701,0.0002,18.654682636260986
21,0.454473165795207,0.451456093788147,0.7346022844314575,0.0002,18.68523931503296
22,0.45206296257674694,0.4378987729549408,0.7433006525039673,0.0002,18.686521530151367
23,0.44641336891800165,0.43492729067802427,0.7476290225982666,0.0002,18.680561542510986
24,0.43331449665129185,0.4202263176441193,0.7550060510635376,0.0002,18.868110418319702
25,0.4281540550291538,0.4162644863128662,0.7572680950164795,0.0002,18.64742088317871
26,0.42589102126657963,0.4095941662788391,0.7619617819786072,0.0002,18.76205587387085
27,0.410082196816802,0.4044472277164459,0.76567462682724,0.0002,19.371543645858765
28,0.40837669279426336,0.40381346344947816,0.7659038662910461,0.0002,18.884921312332153
29,0.405785059556365,0.39861029386520386,0.7687519907951355,0.0002,18.65838360786438
30,0.3942103600129485,0.3814019441604614,0.7787062764167786,0.0002,18.843628883361816
31,0.3929394828155637,0.3849842965602875,0.7781687259674073,0.0002,18.706153631210327
32,0.3952938159927726,0.37822643518447874,0.7827352404594421,0.0002,18.754215955734253
33,0.3850466553121805,0.37253900766372683,0.7867910861968994,0.0002,18.855359077453613
34,0.38347457721829414,0.37248865962028505,0.7860485076904297,0.0002,18.661426067352295
35,0.38085771538317204,0.3672086656093597,0.7904492497444153,0.0002,18.668590307235718
36,0.38281522784382105,0.36363100409507754,0.7921209454536438,0.0002,18.948463678359985
37,0.3723089685663581,0.3629333436489105,0.7924652218818664,0.0002,19.51405692100525
38,0.3755548903718591,0.3675332009792328,0.7902487277984619,0.0002,19.596654415130615
39,0.3650502450764179,0.3625520706176758,0.7934069156646728,0.0002,19.390857458114624
40,0.3616371937096119,0.3557270526885986,0.7979776382446289,0.0002,19.40334391593933
41,0.36456733848899603,0.35757471323013307,0.7966569542884827,0.0002,19.258170127868652
42,0.36048376467078924,0.36311784386634827,0.7937966585159302,0.0002,19.362228393554688
43,0.36184639669954777,0.3566066861152649,0.7973824501037597,0.0002,19.45079016685486
44,0.3619922837242484,0.354819530248642,0.7991286635398864,0.0002,19.37968349456787
